name,code,date,day,month,year
Azerbaijan,AZE,"October 18, 1991",18,10,1991
Turkmenistan,TKM,"October 27, 1991",27,10,1991
Kazakhstan,KAZ,"December 16, 1991",16,12,1991
Bosnia and Herzegovina,BIH,"March 1, 1992",1,3,1992
Russian Federation,RUS,"June 12, 1992",12,6,1992
Slovakia,SVK,"July 17, 1992",17,7,1992
Czechia,CZE,"January 1, 1993",1,1,1993
Eritrea,ERI,"May 24, 1993",24,5,1993
Montenegro,MNE,"May 21, 2006",21,5,2006
South Sudan,SDS,"July 9, 2011",9,7,2011
United Kingdom of Great Britain and Northern Ireland,GBR,Never Been Occupied,0,0,0
Antarctica,ATA,Never Been Occupied,0,0,0
China,CHN,Never Been Occupied,0,0,0
Denmark,DNK,Never Been Occupied,0,0,0
Ethiopia,ETH,Never Been Occupied,0,0,0
France,FRA,Never Been Occupied,0,0,0
Germany,DEU,Never Been Occupied,0,0,0
Greenland,GRL,Never Been Occupied,0,0,0
Hungary,HUN,Never Been Occupied,0,0,0
Italy,ITA,Never Been Occupied,0,0,0
Japan,JPN,Never Been Occupied,0,0,0
Liechtenstein,LIE,Never Been Occupied,0,0,0
Luxembourg,LUX,Never Been Occupied,0,0,0
Monaco,MCO,Never Been Occupied,0,0,0
Nepal,NPL,Never Been Occupied,0,0,0
Netherlands,NLD,Never Been Occupied,0,0,0
Portugal,PRT,Never Been Occupied,0,0,0
Spain,ESP,Never Been Occupied,0,0,0
Sweden,SWE,Never Been Occupied,0,0,0
Thailand,THA,Never Been Occupied,0,0,0
Åland Islands,ALA,Still Occupied,30,1,2025
American Samoa,ASM,Still Occupied,30,1,2025
Andorra,AND,Still Occupied,30,1,2025
Aruba,ABW,Still Occupied,30,1,2025
Bermuda,BMU,Still Occupied,30,1,2025
Bhutan,BTN,Still Occupied,30,1,2025
"Bonaire, Sint Eustatius and Saba",BES,Still Occupied,30,1,2025
Bouvet Island,BVT,Still Occupied,30,1,2025
British Indian Ocean Territory,IOT,Still Occupied,30,1,2025
Brunei Darussalam,BRN,Still Occupied,30,1,2025
Cayman Islands,CYM,Still Occupied,30,1,2025
Christmas Island,CXR,Still Occupied,30,1,2025
Cocos (Keeling) Islands,CCK,Still Occupied,30,1,2025
Cook Islands,COK,Still Occupied,30,1,2025
Curaçao,CUW,Still Occupied,30,1,2025
Falkland Islands (Malvinas),FLK,Still Occupied,30,1,2025
Faroe Islands,FRO,Still Occupied,30,1,2025
French Guiana,GUF,Still Occupied,30,1,2025
French Polynesia,PYF,Still Occupied,30,1,2025
French Southern Territories,ATF,Still Occupied,30,1,2025
Gibraltar,GIB,Still Occupied,30,1,2025
Guadeloupe,GLP,Still Occupied,30,1,2025
Guam,GUM,Still Occupied,30,1,2025
Guernsey,GGY,Still Occupied,30,1,2025
Heard Island and McDonald Islands,HMD,Still Occupied,30,1,2025
Holy See,VAT,Still Occupied,30,1,2025
Hong Kong,HKG,Still Occupied,30,1,2025
Iran (Islamic Republic of),IRN,Still Occupied,30,1,2025
Ireland,IRL,Still Occupied,30,1,2025
Isle of Man,IMN,Still Occupied,30,1,2025
Palestine,ISR,Still Occupied,30,1,2025
Jersey,JEY,Still Occupied,30,1,2025
Marshall Islands,MHL,Still Occupied,30,1,2025
Martinique,MTQ,Still Occupied,30,1,2025
Mayotte,MYT,Still Occupied,30,1,2025
Micronesia (Federated States of),FSM,Still Occupied,30,1,2025
Montserrat,MSR,Still Occupied,30,1,2025
New Caledonia,NCL,Still Occupied,30,1,2025
Niue,NIU,Still Occupied,30,1,2025
Northern Mariana Islands,MNP,Still Occupied,30,1,2025
Oman,OMN,Still Occupied,30,1,2025
Palau,PLW,Still Occupied,30,1,2025
"Palestine, State of",PSE,Still Occupied,30,1,2025
Pitcairn,PCN,Still Occupied,30,1,2025
Puerto Rico,PRI,Still Occupied,30,1,2025
Saint Barthélemy,BLM,Still Occupied,30,1,2025
"Saint Helena, Ascension and Tristan da Cunha",SHN,Still Occupied,30,1,2025
Saint Martin (French part),MAF,Still Occupied,30,1,2025
Saint Pierre and Miquelon,SPM,Still Occupied,30,1,2025
San Marino,SMR,Still Occupied,30,1,2025
Sint Maarten (Dutch part),SXM,Still Occupied,30,1,2025
South Georgia and the South Sandwich Islands,SGS,Still Occupied,30,1,2025
Svalbard and Jan Mayen,SJM,Still Occupied,30,1,2025
Syrian Arab Republic,SYR,Still Occupied,30,1,2025
"Taiwan, Province of China",TWN,Still Occupied,30,1,2025
Timor-Leste,TLS,Still Occupied,30,1,2025
Tokelau,TKL,Still Occupied,30,1,2025
Turks and Caicos Islands,TCA,Still Occupied,30,1,2025
United States Minor Outlying Islands,UMI,Still Occupied,30,1,2025
Virgin Islands (U.S.),VIR,Still Occupied,30,1,2025
Wallis and Futuna,WLF,Still Occupied,30,1,2025
